Tick,Switch,Signal
0,D,GREEN
0,S,GREEN
1,D,GREEN
1,S,GREEN
2,D,GREEN
2,S,GREEN
3,D,GREEN
3,S,GREEN
4,D,GREEN
4,S,GREEN
5,D,GREEN
5,S,GREEN
6,D,GREEN
6,S,GREEN
7,D,GREEN
7,S,GREEN
8,D,GREEN
8,S,GREEN
9,D,GREEN
9,S,GREEN
10,D,GREEN
10,S,GREEN
11,D,GREEN
11,S,GREEN
12,D,GREEN
12,S,GREEN
13,D,GREEN
13,S,GREEN
14,D,GREEN
14,S,GREEN
15,D,GREEN
15,S,GREEN
16,D,GREEN
16,S,GREEN
17,D,GREEN
17,S,GREEN
18,D,GREEN
18,S,GREEN
19,D,GREEN
19,S,GREEN
20,D,GREEN
20,S,GREEN
21,D,GREEN
21,S,GREEN
22,D,GREEN
22,S,GREEN
23,D,GREEN
23,S,GREEN
24,D,GREEN
24,S,GREEN
25,D,GREEN
25,S,GREEN
26,D,GREEN
26,S,GREEN
27,D,GREEN
27,S,GREEN
28,D,GREEN
28,S,GREEN
29,D,GREEN
29,S,GREEN
30,D,GREEN
30,S,GREEN
31,D,GREEN
31,S,GREEN
32,D,GREEN
32,S,GREEN
