Tick,Switch,Mode,State
0,D,GLOBAL,1
0,S,GLOBAL,1
1,D,GLOBAL,0
1,S,GLOBAL,0
2,D,GLOBAL,1
2,S,GLOBAL,1
3,D,GLOBAL,0
3,S,GLOBAL,0
4,D,GLOBAL,1
4,S,GLOBAL,1
5,D,GLOBAL,0
5,S,GLOBAL,0
6,D,GLOBAL,1
6,S,GLOBAL,1
7,D,GLOBAL,0
7,S,GLOBAL,0
8,D,GLOBAL,1
8,S,GLOBAL,1
9,D,GLOBAL,0
9,S,GLOBAL,0
10,D,GLOBAL,1
10,S,GLOBAL,1
11,D,GLOBAL,0
11,S,GLOBAL,0
12,D,GLOBAL,1
12,S,GLOBAL,1
13,D,GLOBAL,0
13,S,GLOBAL,0
14,D,GLOBAL,1
14,S,GLOBAL,1
15,D,GLOBAL,0
15,S,GLOBAL,0
16,D,GLOBAL,1
16,S,GLOBAL,1
17,D,GLOBAL,0
17,S,GLOBAL,0
18,D,GLOBAL,1
18,S,GLOBAL,1
19,D,GLOBAL,0
19,S,GLOBAL,0
20,D,GLOBAL,1
20,S,GLOBAL,1
21,D,GLOBAL,0
21,S,GLOBAL,0
22,D,GLOBAL,1
22,S,GLOBAL,1
23,D,GLOBAL,0
23,S,GLOBAL,0
24,D,GLOBAL,1
24,S,GLOBAL,1
25,D,GLOBAL,0
25,S,GLOBAL,0
26,D,GLOBAL,1
26,S,GLOBAL,1
27,D,GLOBAL,0
27,S,GLOBAL,0
28,D,GLOBAL,1
28,S,GLOBAL,1
29,D,GLOBAL,0
29,S,GLOBAL,0
30,D,GLOBAL,1
30,S,GLOBAL,1
31,D,GLOBAL,0
31,S,GLOBAL,0
32,D,GLOBAL,1
32,S,GLOBAL,1
